alba_name,sub_code,job1,job_code1,job2,job_code2,job3,job_code3,job4,job_code4,job5,job_code5,job6,job_code6,job7,job_code7,job8,job_code8,job8,job_code8,job9,job_code9,job9,job_code9,job10,job_code10,job10,job_code10,job11,job_code11,job11,job_code11,job12,job_code12,job12,job_code12,job13,job_code13,job14,job_code14,job15,job_code15
시스템ㆍ네트워크ㆍ보안, 9066,네트워크엔지니어,430,시스템소프트웨어개발자,834,시스템운영관리자,938,정보보호전문가,435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCㆍ디지털기기 설치ㆍ관리, 9070,컴퓨터하드웨어 기술자 및 연구원,948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
입시ㆍ보습학원, A010,학원강사,417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
외국어ㆍ어학원, A020,학원강사,417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
컴퓨터ㆍ정보통신, A030,아이티 교육강사,475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
요가ㆍ필라테스 강사, A033,스포츠강사,421,스포츠트레이너,392,체형관리사,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
피트니스 트레이너, A036,스포츠강사,421,스포츠트레이너,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
레져스포츠 강사, A038,스포츠강사,421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
예체능 강사, A040,음악강사,1431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
유아ㆍ유치원, A050,유치원교사,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
방문ㆍ학습지, A060,학습지방문교사,1106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
보조교사, A070,보육교사,376,특수교사,413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
자격증ㆍ기술학원, A080,학원강사,417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
국비교육기관, A090,학원강사,417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
교육ㆍ강사 기타, A990,자연계중등학교교사,1089,초등학교교사,410,인문사회계열교수,988,인문계중등학교교사,406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
웹ㆍ모바일디자인, B010,웹디자이너,443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
그래픽ㆍ편집디자인, B020,컴퓨터그래픽디자이너,458,편집기사,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제품ㆍ산업디자인, B030,시각디자이너,937,제품디자이너,332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CADㆍCAMㆍ인테리어디자인, B040,인테리어디자이너,326,캐드원,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
캐릭터ㆍ애니메이션디자인, B050,만화가,291,애니메이터,441,일러스트레이터,327,캐릭터디자이너,339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
패션ㆍ잡화디자인, B060,패션디자이너,344,보석디자이너,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
디자인 기타, B990,광고디자이너,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
미디어 전체, C000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
보조출연ㆍ방청, C010,스턴트맨,314,연기자,303,백댄서(백업댄서),304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
방송스텝ㆍ촬영보조, C020,방송연출가,301,무대감독,296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동영상촬영ㆍ편집, C030,촬영기사,337,비디오저널리스트(VJ),309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사진촬영ㆍ편집, C035,촬영기사,337,사진사,975,사진기자,976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
조명ㆍ음향, C040,음향기사,915,조명기사,911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
방송사ㆍ프로덕션, C050,가수,280,개그맨,281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신문ㆍ잡지ㆍ출판, C060,출판편집자,926,출판물기획전문가,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
미디어 기타, C990,리포터,265,녹음기사,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
운송ㆍ이사, D010,트럭운전기사,142,대형트럭 및 특수차운전원,1078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대리운전ㆍ일반운전, D020,택시운전기사,426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
택시ㆍ버스운전, D030,택시운전기사,426,버스운전기사,372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
수행기사, D040,택시운전기사,426,전문비서,378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
화물ㆍ중장비ㆍ특수차, D050,트럭운전기사,142,크레인 및 호이스트운전원,592,지게차운전원,1111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
